algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
DLS,20,0,0,0,0.002286672592163086,False
UCS e1,20,31,30,0,0.026820898056030273,True
UCS e2,20,31,0,56,0.03212881088256836,True
A*_e1,20,31,31,0,0.004024982452392578,True
A*_e2,20,31,0,30,0.009831666946411133,True
aleatorio,20,0,0,0,0.0045528411865234375,False
BFS,21,44,44,61,0.013761043548583984,True
DFS,21,998,998,1931,0.13000774383544922,True
DLS,21,0,0,0,0.00200653076171875,False
UCS e1,21,44,43,0,0.06323456764221191,True
UCS e2,21,44,0,61,0.07304573059082031,True
A*_e1,21,44,44,0,0.007523775100708008,True
A*_e2,21,44,0,43,0.0067996978759765625,True
aleatorio,21,0,0,0,0.0030624866485595703,False
BFS,22,37,37,90,0.03676652908325195,True
DFS,22,819,819,1622,0.2750270366668701,True
DLS,22,0,0,0,0.003839731216430664,False
UCS e1,22,37,36,0,0.06807184219360352,True
UCS e2,22,37,0,90,0.19302797317504883,True
A*_e1,22,37,37,0,0.004046916961669922,True
A*_e2,22,37,0,36,0.0042803287506103516,True
aleatorio,22,0,0,0,0.0009932518005371094,False
BFS,23,34,34,33,0.010969877243041992,True
DFS,23,450,450,855,0.009381532669067383,True
DLS,23,0,0,0,0.0019981861114501953,False
UCS e1,23,34,33,0,0.033184051513671875,True
UCS e2,23,34,0,33,0.020936965942382812,True
A*_e1,23,34,34,0,0.0031969547271728516,True
A*_e2,23,34,0,33,0.004019498825073242,True
aleatorio,23,0,0,0,0.0032269954681396484,False
BFS,24,92,92,223,0.04474639892578125,True
DFS,24,854,854,1713,0.05761265754699707,True
DLS,24,0,0,0,0.002997875213623047,False
UCS e1,24,92,91,0,0.1465160846710205,True
UCS e2,24,92,0,223,0.14904117584228516,True
A*_e1,24,92,92,0,0.046817779541015625,True
A*_e2,24,92,0,91,0.05305290222167969,True
aleatorio,24,0,0,0,0.0030052661895751953,False
BFS,25,57,57,62,0.04192090034484863,True
DFS,25,281,281,497,0.1320333480834961,True
DLS,25,0,0,0,0.003000020980834961,False
UCS e1,25,57,56,0,0.1163935661315918,True
UCS e2,25,57,0,62,0.09497237205505371,True
A*_e1,25,57,57,0,0.004770994186401367,True
A*_e2,25,57,0,56,0.004002571105957031,True
aleatorio,25,0,0,0,0.002017498016357422,False
BFS,26,129,129,187,0.04996800422668457,True
DFS,26,1595,1595,3065,0.1339402198791504,True
DLS,26,0,0,0,0.0030078887939453125,False
UCS e1,26,129,128,0,0.195023775100708,True
UCS e2,26,129,0,187,0.2111220359802246,True
A*_e1,26,129,129,0,0.015037298202514648,True
A*_e2,26,129,0,128,0.015929460525512695,True
aleatorio,26,0,0,0,0.002016305923461914,False
BFS,27,87,87,193,0.04465198516845703,True
DFS,27,2837,2837,5575,0.2888963222503662,True
DLS,27,0,0,0,0.0025780200958251953,False
UCS e1,27,87,86,0,0.17437052726745605,True
UCS e2,27,87,0,193,0.19739007949829102,True
A*_e1,27,87,87,0,0.0062901973724365234,True
A*_e2,27,87,0,86,0.007254362106323242,True
aleatorio,27,0,0,0,0.002859354019165039,False
BFS,28,64,64,101,0.022722959518432617,True
DFS,28,308,308,588,0.011527299880981445,True
DLS,28,0,0,0,0.0,False
UCS e1,28,64,63,0,0.09113812446594238,True
UCS e2,28,64,0,101,0.08851981163024902,True
A*_e1,28,64,64,0,0.02371072769165039,True
A*_e2,28,64,0,63,0.015234947204589844,True
aleatorio,28,0,0,0,0.0020151138305664062,False
BFS,29,102,102,131,0.037950992584228516,True
DFS,29,1258,1258,2383,0.05159783363342285,True
DLS,29,0,0,0,0.0013668537139892578,False
UCS e1,29,102,101,0,0.11793017387390137,True
UCS e2,29,102,0,131,0.12721920013427734,True
A*_e1,29,102,102,0,0.007918596267700195,True
A*_e2,29,102,0,101,0.007852554321289062,True
aleatorio,29,0,0,0,0.001993894577026367,False
BFS,30,31,31,61,0.004980564117431641,True
DFS,30,1427,1427,2779,0.07867550849914551,True
DLS,30,0,0,0,0.0027260780334472656,False
UCS e1,30,31,30,0,0.01189422607421875,True
UCS e2,30,31,0,61,0.017088651657104492,True
A*_e1,30,31,31,0,0.003030538558959961,True
A*_e2,30,31,0,30,0.0034682750701904297,True
aleatorio,30,0,0,0,0.0019965171813964844,False
